sub_num,block,galaxy,diff_mean
20.0,2.0,0,1.0625
20.0,2.0,1,0.76
20.0,2.0,2,-0.8695652173913043
22.0,2.0,0,1.0
22.0,2.0,1,0.5
22.0,2.0,2,-1.3333333333333333
23.0,2.0,0,1.0625
23.0,2.0,1,0.6153846153846154
23.0,2.0,2,-1.0
25.0,2.0,0,1.0
25.0,2.0,1,0.6
25.0,2.0,2,-1.0
26.0,2.0,0,1.0
26.0,2.0,1,0.52
26.0,2.0,2,-0.8695652173913043
27.0,2.0,0,1.0
27.0,2.0,1,0.56
27.0,2.0,2,-1.0
28.0,2.0,0,1.0588235294117647
28.0,2.0,1,0.64
28.0,2.0,2,-1.25
29.0,2.0,0,1.0
29.0,2.0,1,0.6
29.0,2.0,2,-1.28
30.0,2.0,0,1.0625
30.0,2.0,1,0.68
30.0,2.0,2,-0.9166666666666666
31.0,2.0,0,1.0
31.0,2.0,1,0.6
31.0,2.0,2,-0.8695652173913043
32.0,2.0,0,1.0
32.0,2.0,1,0.68
32.0,2.0,2,-1.0
33.0,2.0,0,1.0
33.0,2.0,1,0.64
33.0,2.0,2,-1.0
34.0,2.0,0,1.0
34.0,2.0,1,0.68
34.0,2.0,2,-1.0833333333333333
35.0,2.0,0,0.8823529411764706
35.0,2.0,1,0.38461538461538464
35.0,2.0,2,-1.3846153846153846
36.0,2.0,0,1.0588235294117647
36.0,2.0,1,0.4230769230769231
36.0,2.0,2,-1.4230769230769231
37.0,2.0,0,1.0625
37.0,2.0,1,0.72
37.0,2.0,2,-0.5217391304347826
38.0,2.0,0,0.875
38.0,2.0,1,0.64
38.0,2.0,2,-0.6086956521739131
0.0,3.0,0,1.0
0.0,3.0,1,0.68
0.0,3.0,2,-0.7391304347826086
1.0,3.0,0,1.0625
1.0,3.0,1,0.72
1.0,3.0,2,-1.0
2.0,3.0,0,1.0
2.0,3.0,1,0.52
2.0,3.0,2,-0.96
3.0,3.0,0,1.0588235294117647
3.0,3.0,1,0.64
3.0,3.0,2,-0.8260869565217391
4.0,3.0,0,1.0625
4.0,3.0,1,0.68
4.0,3.0,2,-0.7391304347826086
5.0,3.0,0,1.0625
5.0,3.0,1,0.6
5.0,3.0,2,-0.9166666666666666
6.0,3.0,0,1.0
6.0,3.0,1,0.56
6.0,3.0,2,-0.6956521739130435
7.0,3.0,0,1.0
7.0,3.0,1,0.64
7.0,3.0,2,-1.0416666666666667
8.0,3.0,0,-0.8421052631578947
8.0,3.0,1,-2.0
8.0,3.0,2,-6.891304347826087
9.0,3.0,0,1.0625
9.0,3.0,1,0.52
9.0,3.0,2,-0.7391304347826086
10.0,3.0,0,1.0
10.0,3.0,1,0.56
10.0,3.0,2,-0.6521739130434783
11.0,3.0,0,1.0625
11.0,3.0,1,0.6
11.0,3.0,2,-1.24
12.0,3.0,0,1.0625
12.0,3.0,1,0.5384615384615384
12.0,3.0,2,-1.36
13.0,3.0,0,1.0
13.0,3.0,1,0.64
13.0,3.0,2,-0.9583333333333334
14.0,3.0,0,1.0625
14.0,3.0,1,0.64
14.0,3.0,2,-1.08
15.0,3.0,0,1.0
15.0,3.0,1,0.52
15.0,3.0,2,-1.1666666666666667
16.0,3.0,0,1.0625
16.0,3.0,1,0.68
16.0,3.0,2,-0.875
17.0,3.0,0,1.0625
17.0,3.0,1,0.68
17.0,3.0,2,-1.24
18.0,3.0,0,1.125
18.0,3.0,1,0.72
18.0,3.0,2,-0.782608695652174
19.0,3.0,0,1.0
19.0,3.0,1,0.4230769230769231
19.0,3.0,2,-1.0416666666666667
20.0,3.0,0,1.0625
20.0,3.0,1,0.76
20.0,3.0,2,-0.8695652173913043
22.0,3.0,0,1.0
22.0,3.0,1,0.6
22.0,3.0,2,-1.1304347826086956
23.0,3.0,0,1.0625
23.0,3.0,1,0.6153846153846154
23.0,3.0,2,-1.0416666666666667
25.0,3.0,0,1.0
25.0,3.0,1,0.64
25.0,3.0,2,-0.9166666666666666
26.0,3.0,0,1.0625
26.0,3.0,1,0.4230769230769231
26.0,3.0,2,-0.8260869565217391
27.0,3.0,0,1.0625
27.0,3.0,1,0.64
27.0,3.0,2,-1.0833333333333333
28.0,3.0,0,1.0588235294117647
28.0,3.0,1,0.64
28.0,3.0,2,-1.4583333333333333
29.0,3.0,0,1.0
29.0,3.0,1,0.4230769230769231
29.0,3.0,2,-1.56
30.0,3.0,0,1.0
30.0,3.0,1,0.72
30.0,3.0,2,-0.6956521739130435
31.0,3.0,0,1.0625
31.0,3.0,1,0.6
31.0,3.0,2,-0.8260869565217391
32.0,3.0,0,1.0
32.0,3.0,1,0.72
32.0,3.0,2,-1.12
33.0,3.0,0,1.0625
33.0,3.0,1,0.68
33.0,3.0,2,-1.16
34.0,3.0,0,0.9375
34.0,3.0,1,0.68
34.0,3.0,2,-1.16
35.0,3.0,0,0.9411764705882353
35.0,3.0,1,0.5
35.0,3.0,2,-1.2
36.0,3.0,0,1.0588235294117647
36.0,3.0,1,0.52
36.0,3.0,2,-1.5769230769230769
37.0,3.0,0,1.0625
37.0,3.0,1,0.76
37.0,3.0,2,-0.6086956521739131
38.0,3.0,0,0.875
38.0,3.0,1,0.56
38.0,3.0,2,-0.9166666666666666
0.0,4.0,0,1.0
0.0,4.0,1,0.68
0.0,4.0,2,-0.782608695652174
1.0,4.0,0,1.0625
1.0,4.0,1,0.72
1.0,4.0,2,-0.9130434782608695
2.0,4.0,0,0.9411764705882353
2.0,4.0,1,0.52
2.0,4.0,2,-0.875
3.0,4.0,0,1.0
3.0,4.0,1,0.6
3.0,4.0,2,-1.2083333333333333
4.0,4.0,0,1.0625
4.0,4.0,1,0.68
4.0,4.0,2,-0.782608695652174
5.0,4.0,0,1.0
5.0,4.0,1,0.68
5.0,4.0,2,-1.0416666666666667
6.0,4.0,0,0.2222222222222222
6.0,4.0,1,0.15384615384615385
6.0,4.0,2,-3.259259259259259
7.0,4.0,0,1.0625
7.0,4.0,1,0.48
7.0,4.0,2,-1.2
8.0,4.0,0,0.29411764705882354
8.0,4.0,1,0.3076923076923077
8.0,4.0,2,-3.1785714285714284
9.0,4.0,0,1.0625
9.0,4.0,1,0.52
9.0,4.0,2,-0.6086956521739131
10.0,4.0,0,1.0
10.0,4.0,1,0.6
10.0,4.0,2,-0.9565217391304348
11.0,4.0,0,1.0
11.0,4.0,1,0.56
11.0,4.0,2,-1.12
12.0,4.0,0,-0.5789473684210527
12.0,4.0,1,-1.9666666666666666
12.0,4.0,2,-7.066666666666666
13.0,4.0,0,1.0
13.0,4.0,1,0.68
13.0,4.0,2,-0.7916666666666666
14.0,4.0,0,1.0625
14.0,4.0,1,0.64
14.0,4.0,2,-1.04
15.0,4.0,0,1.0
15.0,4.0,1,0.64
15.0,4.0,2,-0.8260869565217391
16.0,4.0,0,1.0
16.0,4.0,1,0.64
16.0,4.0,2,-0.7391304347826086
17.0,4.0,0,1.0625
17.0,4.0,1,0.68
17.0,4.0,2,-1.32
18.0,4.0,0,1.125
18.0,4.0,1,0.72
18.0,4.0,2,-0.7391304347826086
19.0,4.0,0,1.0
19.0,4.0,1,0.46153846153846156
19.0,4.0,2,-0.6956521739130435
20.0,4.0,0,1.0625
20.0,4.0,1,0.76
20.0,4.0,2,-0.8260869565217391
22.0,4.0,0,1.0
22.0,4.0,1,0.56
22.0,4.0,2,-1.0869565217391304
23.0,4.0,0,1.0625
23.0,4.0,1,0.72
23.0,4.0,2,-1.125
25.0,4.0,0,1.0
25.0,4.0,1,0.68
25.0,4.0,2,-1.36
26.0,4.0,0,1.0
26.0,4.0,1,0.56
26.0,4.0,2,-1.0416666666666667
27.0,4.0,0,1.0
27.0,4.0,1,0.6
27.0,4.0,2,-1.0833333333333333
28.0,4.0,0,1.0588235294117647
28.0,4.0,1,0.64
28.0,4.0,2,-1.375
29.0,4.0,0,0.9375
29.0,4.0,1,0.52
29.0,4.0,2,-1.52
30.0,4.0,0,1.0625
30.0,4.0,1,0.64
30.0,4.0,2,-0.9166666666666666
31.0,4.0,0,1.0625
31.0,4.0,1,0.6
31.0,4.0,2,-0.7391304347826086
32.0,4.0,0,0.9411764705882353
32.0,4.0,1,0.76
32.0,4.0,2,-1.08
33.0,4.0,0,1.0
33.0,4.0,1,0.64
33.0,4.0,2,-1.04
34.0,4.0,0,1.0
34.0,4.0,1,0.68
34.0,4.0,2,-0.7391304347826086
35.0,4.0,0,0.9411764705882353
35.0,4.0,1,0.68
35.0,4.0,2,-0.6956521739130435
36.0,4.0,0,1.0588235294117647
36.0,4.0,1,0.6
36.0,4.0,2,-1.2
37.0,4.0,0,1.0625
37.0,4.0,1,0.76
37.0,4.0,2,-0.6086956521739131
