sub_num,block,galaxy,diff_mean
0.0,1.0,0,0.9285714285714286
0.0,1.0,1,0.5769230769230769
0.0,1.0,2,2.5789473684210527
1.0,1.0,0,1.0
1.0,1.0,1,0.5
1.0,1.0,2,0.5909090909090909
2.0,1.0,0,1.0
2.0,1.0,1,0.4230769230769231
2.0,1.0,2,1.0952380952380953
3.0,1.0,0,1.0
3.0,1.0,1,0.56
3.0,1.0,2,1.55
4.0,1.0,0,0.9333333333333333
4.0,1.0,1,0.0
4.0,1.0,2,0.34782608695652173
5.0,1.0,0,1.0
5.0,1.0,1,-0.11538461538461539
5.0,1.0,2,-1.3076923076923077
6.0,1.0,0,0.5789473684210527
6.0,1.0,1,-0.6296296296296297
6.0,1.0,2,-3.7
7.0,1.0,0,0.8421052631578947
7.0,1.0,1,-0.3333333333333333
7.0,1.0,2,-2.7857142857142856
8.0,1.0,0,1.0
8.0,1.0,1,-0.07692307692307693
8.0,1.0,2,-0.24
9.0,1.0,0,1.0
9.0,1.0,1,-0.038461538461538464
9.0,1.0,2,-0.32
10.0,1.0,0,1.0
10.0,1.0,1,0.4
10.0,1.0,2,1.2857142857142858
11.0,1.0,0,1.0
11.0,1.0,1,0.0
11.0,1.0,2,-0.32
12.0,1.0,0,0.9375
12.0,1.0,1,0.11538461538461539
12.0,1.0,2,-0.2916666666666667
13.0,1.0,0,1.0
13.0,1.0,1,-0.07692307692307693
13.0,1.0,2,-0.32
14.0,1.0,0,1.0
14.0,1.0,1,-0.11538461538461539
14.0,1.0,2,-1.3333333333333333
15.0,1.0,0,1.0
15.0,1.0,1,0.38461538461538464
15.0,1.0,2,0.4090909090909091
16.0,1.0,0,1.0
16.0,1.0,1,0.56
16.0,1.0,2,1.5
17.0,1.0,0,0.42105263157894735
17.0,1.0,1,-0.6071428571428571
17.0,1.0,2,-4.1875
18.0,1.0,0,1.0
18.0,1.0,1,0.46153846153846156
18.0,1.0,2,0.9523809523809523
19.0,1.0,0,0.9411764705882353
19.0,1.0,1,-0.19230769230769232
19.0,1.0,2,-1.2592592592592593
20.0,1.0,0,0.9333333333333333
20.0,1.0,1,0.46153846153846156
20.0,1.0,2,0.6363636363636364
22.0,1.0,0,1.0769230769230769
22.0,1.0,1,0.4230769230769231
22.0,1.0,2,1.85
23.0,1.0,0,1.0
23.0,1.0,1,-0.038461538461538464
23.0,1.0,2,-0.5
25.0,1.0,0,1.0
25.0,1.0,1,-0.11538461538461539
25.0,1.0,2,-0.6538461538461539
26.0,1.0,0,1.0
26.0,1.0,1,0.8
26.0,1.0,2,2.6666666666666665
27.0,1.0,0,1.0
27.0,1.0,1,0.52
27.0,1.0,2,1.5
28.0,1.0,0,1.0
28.0,1.0,1,-0.11538461538461539
28.0,1.0,2,-0.6666666666666666
29.0,1.0,0,1.0
29.0,1.0,1,-0.07692307692307693
29.0,1.0,2,-0.68
30.0,1.0,0,1.0
30.0,1.0,1,0.15384615384615385
30.0,1.0,2,0.4090909090909091
31.0,1.0,0,1.0666666666666667
31.0,1.0,1,0.6
31.0,1.0,2,1.6842105263157894
32.0,1.0,0,1.0
32.0,1.0,1,0.72
32.0,1.0,2,2.3157894736842106
33.0,1.0,0,0.9444444444444444
33.0,1.0,1,-0.19230769230769232
33.0,1.0,2,-1.5
34.0,1.0,0,1.0
34.0,1.0,1,0.64
34.0,1.0,2,2.05
35.0,1.0,0,0.8333333333333334
35.0,1.0,1,-0.2222222222222222
